Gene ID,log2FC,p-value,Significant
UCK2,-0.626944849,6.92E-06,Yes
APOL6,1.510779834,6.98E-06,Yes
TRPC3,-1.061117624,7.48E-06,Yes
TMSB4X,0.444223876,7.53E-06,Yes
FOXJ1,3.22036725,7.66E-06,Yes
LIPG,1.951791019,7.79E-06,Yes
HLA-DRB5,2.045140551,7.83E-06,Yes
PDLIM1,2.189441075,8.00E-06,Yes
FTSJ3,0.431560163,8.03E-06,Yes
RTP1,-2.111014352,8.07E-06,Yes
KIF17,-0.756074719,8.21E-06,Yes
NT5C2,0.778949029,8.36E-06,Yes
LOC105376244,1.55837711,8.55E-06,Yes
F2R,1.601749362,8.59E-06,Yes
HTR6,-1.404245834,8.68E-06,Yes
LOC101927510,1.727874184,8.72E-06,Yes
RNASET2,0.893803354,9.07E-06,Yes
IL17RB,1.707037554,9.36E-06,Yes
VIPR1,-0.725934159,9.44E-06,Yes
APOL4,2.761769557,9.56E-06,Yes
KARS1,0.561055044,9.66E-06,Yes
SEMA3F-AS1,-0.695964173,9.68E-06,Yes
LZTS1,-0.71440345,9.83E-06,Yes
KCNH5,-1.298119031,9.94E-06,Yes
DNALI1,0.984411428,1.01E-05,Yes
HCG17,-1.310821457,1.04E-05,Yes
TMEM176B,1.854688208,1.05E-05,Yes
CAMK2B,-0.593324835,1.05E-05,Yes
LOC107986123,-1.418809911,1.05E-05,Yes
VIPR2,-0.951009138,1.05E-05,Yes
CYB561D1,-0.788469014,1.06E-05,Yes
EXPH5,-1.170493955,1.08E-05,Yes
EXTL1,-1.006422417,1.11E-05,Yes
MS4A6A,2.121260223,1.12E-05,Yes
MICB,2.75499941,1.13E-05,Yes
MAOB,0.540126416,1.17E-05,Yes
HS3ST3B1,2.46340234,1.19E-05,Yes
HMOX1,2.32032906,1.21E-05,Yes
MDK,1.911894907,1.23E-05,Yes
AACS,-0.827882797,1.29E-05,Yes
PTHLH,-1.210348809,1.32E-05,Yes
FPR1,3.217161459,1.32E-05,Yes
LOC374443,1.011347575,1.34E-05,Yes
ADCK1,-0.783546632,1.35E-05,Yes
CX3CL1,-0.823373959,1.38E-05,Yes
NOL4L,-0.69877688,1.39E-05,Yes
MOB1A,0.650619632,1.41E-05,Yes
GNA14,1.248263145,1.44E-05,Yes
SYT5,-0.723196739,1.49E-05,Yes
OSMR,1.480408571,1.49E-05,Yes
TLR3,1.499361102,1.49E-05,Yes
SLC44A3-AS1,1.414210175,1.50E-05,Yes
TIFA,1.305041626,1.51E-05,Yes
SLC16A9,1.712400113,1.51E-05,Yes
PPFIBP1,-0.716298273,1.55E-05,Yes
SELL,1.520867647,1.56E-05,Yes
LINC00339,0.797895799,1.57E-05,Yes
ULK3,-0.420195401,1.59E-05,Yes
NANOS1,0.968938312,1.62E-05,Yes
S100A6,0.771717905,1.67E-05,Yes
RPS24,0.783566881,1.73E-05,Yes
MSANTD3-TMEFF1,-0.476031053,1.74E-05,Yes
RPS6KL1,-0.784276615,1.76E-05,Yes
INTS12,0.608249066,1.77E-05,Yes
AKAP8L,0.683354768,1.78E-05,Yes
COL26A1,-1.226259899,1.79E-05,Yes
ATP2B2,-1.198297137,1.79E-05,Yes
PHEX,1.092071909,1.80E-05,Yes
NTNG1,-0.910568251,1.80E-05,Yes
TAP2,0.536803654,1.83E-05,Yes
DPYSL5,-0.578081793,1.85E-05,Yes
IGFBP3,1.513330661,1.87E-05,Yes
FSCN1,-0.565966629,1.91E-05,Yes
STEAP3,0.965763637,1.93E-05,Yes
BORCS7-ASMT,0.530589151,1.94E-05,Yes
ROGDI,-0.432402361,1.94E-05,Yes
TMEM271,-0.473084114,1.95E-05,Yes
PLP2,1.627778174,1.96E-05,Yes
TTYH3,-0.572275427,1.98E-05,Yes
LIX1,1.447671427,2.00E-05,Yes
PAICS,0.529744757,2.01E-05,Yes
MAP3K20,0.793155326,2.03E-05,Yes
PLXDC1,-0.783255485,2.06E-05,Yes
